ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
기타,골프,경기,구리시,구리시 필드골프 교실,지체장애,16:00-17:00,,20220101~20221231,20220101~20221231
기타,기타,경기,구리시,구리시 시각장애인 한궁 교실,시각장애,미정,,20220101~20221231,20220101~20221231
기타,,경남,사천시,(기금)2022년 사천 초등 체육교실,기타장애,수 15:00~16:00,,20220401~20220930,20220401~20220930
기타,필라테스,경기,군포시,군포시 시각장애인 오감만족 운동 교실,시각장애,14:00-15:00,,20220101~20221231,20220101~20221231
기타,쇼다운,경기,군포시,군포시 쇼다운 교실,시각장애,13:30-16:00,,20220101~20221231,20220101~20221231
기타,뉴스포츠,대전,유성구,2022 기초체력VR 생활체육교실,지적장애,"화, 목 10:30 ~ 13:30",,20220913~20221208,20220913~20221208
기타,뉴스포츠,경기,군포시,군포시 통합장애인센터 한마음 체육 교실,청각장애,11:00-12:00,,20220101~20221231,20220101~20221231
기타,뉴스포츠,대전,동구,2022 뉴스포츠 생활체육교실,지적장애,"화, 목 13:00 ~ 15:00",,20220913~20221208,20220913~20221208
기타,쇼다운,경기,남양주시,남양주시 쇼다운 교실,시각장애,13:30-15:30,,20220101~20221231,20220101~20221231
기타,,경남,김해시,(기금)2022년 김해시각장애인한궁초보자교실,시각장애,화 10:00~12:00,,20220401~20220930,20220401~20220930
기타,,경남,통영시,(기금)2022년 경상남도 선원장애인 한궁 교실,지체장애,"월, 수, 금 10:00-11:00",,20220401~20220930,20220401~20220930
기타,,경남,통영시,(기금)2022년 통영느티나무성인발달장애인 생활체조교실,지적장애,토 11:00-12:00,,20220401~20220930,20220401~20220930
기타,,경남,고성군,(기금)고성군시각장애인한궁교실,시각장애,"화,수 10:30-11:30",,20220401~20220930,20220401~20220930
기타,기타,경기,남양주시,남양주시 활서바이벌 교실(농아),청각장애,13:30-15:30,,20220101~20221231,20220101~20221231
기타,,경기,남양주시,남양주시 활서바이벌 교실(시각),시각장애,13:30-15:30,,20220101~20221231,20220101~20221231
기타,기타,경기,남양주시,남양주시 활서바이벌 교실(지체),지체장애,13:30-15:30,,20220101~20221231,20220101~20221231
기타,기타,전남,보성군,2022 전남 보성군 장애인생활체육 한궁교실,지체장애,13:30~14:30,,20220301~20220331,20220407~20221124
기타,생활체조,전남,목포시,2022 전남 목포시 장애인생활체육 생활체조교실,기타장애,14:30~15:30,,20220301~20220331,20220421~20221006
