ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
론볼,,부산,동래구,리더스론볼클럽,지체장애,매주 수요일 14:00~17:00,장애인과 비장애인 의 어울림 동호회로 누구나 관심있고 운동 좋아하시는 분들을 항시 환영합니다.  많은 참석 바랍니다~~~
론볼,,부산,동구,등대론볼클럽,지체장애,"매주 수, 금 오후2시","장애인의 건강한 생활체육문화정착과 장애인생활체육의 활성을 통한 전문체육인을 육성하며, 장애인의 사회성향상을 위한 사회적응능력을 개발하고, 지역사회의 장애인인식개선으로 장애인의 완전환한 사회참여와 사회통합을 목적으로   주 2회(매주 수, 금) 클럽활동을 실시 함."
론볼,,울산,남구,울산돌고래론볼클럽,지체장애,매주 목요일 오후 2시,"론볼에 관심이 있는 장애인이나 비장애인, 누구나 가입을 환영합니다."
론볼,,광주,북구,무등론볼동호회클럽,지체장애,"매주 월,수,금 오후2시",
론볼,,충남,공주시,고마나루론볼클럽,지체장애,매주 목 오전 10시,"매주 월 오전10시에 론볼 동호회 활동을 진행합니다.  장애인, 비장애인 함께 어울리는 어울림동호회입니다."
론볼,,경남,창원시,창원장애인론볼동호회,지체장애,"월,수,금 오후 1시",
론볼,,경남,진주시,모덕장애인론볼동호회,지체장애,"화,수,금 오후 1시",
론볼,,전남,여수시,여수장애인한마음론볼클럽,기타장애,매주 금 오후 2시,"저희 클럽은 론볼경기장에서 맑은 햇볕과 좋은 공기를 맘껏 마시며 친목을 도모하고, 건강한 생활을 유지하고 있습니다.  더불어 장애인과 비장애인이 함께 론볼을 통해서 교류하고자 합니다.  론볼을 사랑하고 관심있는 분들의 많은 참여와 신청 바랍니다."
론볼,,전북,부안군,새만금 론볼 동호회,기타장애,"매주 월,화,수,목,금 오후4시까지",
론볼,,충남,계룡시,(기금)계룡시장애인 론볼클럽,지체장애,매주 목 14:00~16:00,
론볼,,울산,남구,울산장애인론볼동호회,지체장애,매주토요일오후2시,론볼은 장애인과 비장애인이 함께 운동할수 있는 스포츠입니다
론볼,기타,울산,남구,울산장애인연맹론볼교실,지체장애,매주토요일오후2시,울산장애인론볼연맹교실은 장애인 비장애인 함께 할수있는  론볼을 기초부터 배울수 있습니다
론볼,,충남,부여군,(도비)사비론볼클럽,지체장애,"매주 화,목 오전10시(하절기),오후 1시30분(동절기","부여에 거주하고 있는 모든 장애인 대상으로 사비론볼클럽 회원을 모집합니다.  기초 기술부터 경기까지 대상자 수준에 맞게 지도하며,  충청남도장애인도민체전 및 론볼 대회에도 참가 할 수 있도록 진행하고 있습니다.  부여 장애인분들의 많은 관심부탁드립니다."
